title,price,rating,availability,book_url,book_image
A Light in the Attic,Â£51.77,Three,In stock,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,image_scrap/A Light in the Attic.jpg
Tipping the Velvet,Â£53.74,One,In stock,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,image_scrap/Tipping the Velvet.jpg
Soumission,Â£50.10,One,In stock,http://books.toscrape.com/catalogue/soumission_998/index.html,image_scrap/Soumission.jpg
Sharp Objects,Â£47.82,Four,In stock,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,image_scrap/Sharp Objects.jpg
Sapiens: A Brief History of Humankind,Â£54.23,Five,In stock,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,image_scrap/Sapiens_ A Brief History of Humankind.jpg
The Requiem Red,Â£22.65,One,In stock,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,image_scrap/The Requiem Red.jpg
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,In stock,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,image_scrap/The Dirty Little Secrets of Getting Your Dream Job.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,In stock,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,image_scrap/The Coming Woman_ A Novel Based on the Life of the.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,In stock,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,image_scrap/The Boys in the Boat_ Nine Americans and Their Epi.jpg
The Black Maria,Â£52.15,One,In stock,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,image_scrap/The Black Maria.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,In stock,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"image_scrap/Starving Hearts (Triangular Trade Trilogy, #1).jpg"
Shakespeare's Sonnets,Â£20.66,Four,In stock,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,image_scrap/Shakespeare's Sonnets.jpg
Set Me Free,Â£17.46,Five,In stock,http://books.toscrape.com/catalogue/set-me-free_988/index.html,image_scrap/Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,image_scrap/Scott Pilgrim's Precious Little Life (Scott Pilgri.jpg
Rip it Up and Start Again,Â£35.02,Five,In stock,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,image_scrap/Rip it Up and Start Again.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,In stock,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,image_scrap/Our Band Could Be Your Life_ Scenes from the Ameri.jpg
Olio,Â£23.88,One,In stock,http://books.toscrape.com/catalogue/olio_984/index.html,image_scrap/Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,In stock,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,image_scrap/Mesaerion_ The Best Science Fiction Stories 1800-1.jpg
Libertarianism for Beginners,Â£51.33,Two,In stock,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,image_scrap/Libertarianism for Beginners.jpg
It's Only the Himalayas,Â£45.17,Two,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,image_scrap/It's Only the Himalayas.jpg
